,_id,animalSettlement,animalType,isPregmant,weight
302,640f6ef10c8f4c1edc67683a,1a40025792,SIN ESPECIFICAR,,
303,640f6ef10c8f4c1edc676833,1a40025792,SIN ESPECIFICAR,,
304,640f6ef10c8f4c1edc676836,1a40025792,SIN ESPECIFICAR,,
305,640f6ef10c8f4c1edc676841,1a40025792,SIN ESPECIFICAR,,
306,640f6ef10c8f4c1edc67683b,1a40025792,SIN ESPECIFICAR,,
307,640f6ef10c8f4c1edc67683f,1a40025792,SIN ESPECIFICAR,,
308,640f6ef10c8f4c1edc676838,1a40025792,SIN ESPECIFICAR,,
309,640f6ef10c8f4c1edc676846,1a40025792,SIN ESPECIFICAR,,
310,640f6ef10c8f4c1edc676840,1a40025792,SIN ESPECIFICAR,,
311,640f6ef10c8f4c1edc676844,1a40025792,SIN ESPECIFICAR,,
312,640f6ef10c8f4c1edc676845,1a40025792,SIN ESPECIFICAR,,
313,640f6ef10c8f4c1edc67683d,1a40025792,SIN ESPECIFICAR,,
314,640f6ef10c8f4c1edc676842,1a40025792,SIN ESPECIFICAR,,
315,640f6ef10c8f4c1edc676847,1a40025792,SIN ESPECIFICAR,,
317,64234a7d2d19ba003055aa7e,1a40025792,VACA,False,100.0
318,64234a7d2d19ba003055aa84,1a40025792,VACA,False,100.0
319,64234a7d2d19ba003055aa80,1a40025792,VACA,False,100.0
320,64234a7d2d19ba003055aa86,1a40025792,VACA,False,100.0
321,64234a7d2d19ba003055aa82,1a40025792,VACA,False,100.0
322,64234a7d2d19ba003055aa88,1a40025792,VACA,False,100.0
323,64234a7d2d19ba003055aa8a,1a40025792,VACA,False,100.0
324,64234a7d2d19ba003055aa8c,1a40025792,VACA,False,100.0
325,64234a7d2d19ba003055aa8e,1a40025792,VACA,False,100.0
326,64234a7d2d19ba003055aa90,1a40025792,VACA,False,100.0
327,6423540e0dac550030135001,1a40025792,VACA,False,100.0
328,6423540e0dac550030135003,1a40025792,VACA,False,100.0
329,6423540e0dac550030135005,1a40025792,VACA,False,100.0
330,642354130dac55003013500f,1a40025792,VACA,False,100.0
331,642354130dac550030135017,1a40025792,VACA,False,100.0
332,642354130dac55003013500d,1a40025792,VACA,False,100.0
333,642354130dac550030135019,1a40025792,VACA,False,100.0
334,642354130dac55003013501f,1a40025792,VACA,False,100.0
